,dtype,non_null_count,non_null_percent,unique_values
id,object,947,100.0,947
pad_launch_attempt_count_year,int64,947,100.0,65
rocket.configuration.successful_landings,int64,947,100.0,4
rocket.configuration.attempted_landings,int64,947,100.0,5
rocket.configuration.consecutive_successful_launches,int64,947,100.0,22
rocket.configuration.pending_launches,int64,947,100.0,5
rocket.configuration.failed_launches,int64,947,100.0,7
rocket.configuration.successful_launches,int64,947,100.0,28
rocket.configuration.total_launch_count,int64,947,100.0,28
location_launch_attempt_count_year,int64,947,100.0,67
url,object,947,100.0,947
agency_launch_attempt_count_year,int64,947,100.0,132
rocket.configuration.reusable,bool,947,100.0,2
agency_launch_attempt_count,int64,947,100.0,688
rocket.configuration.manufacturer.type.name,object,947,100.0,2
rocket.configuration.manufacturer.type.id,int64,947,100.0,2
rocket.configuration.manufacturer.abbrev,object,947,100.0,9
rocket.configuration.manufacturer.name,object,947,100.0,10
rocket.configuration.manufacturer.id,int64,947,100.0,10
rocket.configuration.program,object,947,100.0,3
rocket.configuration.families,object,947,100.0,29
rocket.configuration.description,object,947,100.0,51
rocket.configuration.failed_landings,int64,947,100.0,4
rocket.configuration.consecutive_successful_landings,int64,947,100.0,4
rocket.launcher_stage,object,947,100.0,237
rocket.spacecraft_stage,object,947,100.0,1
location_launch_attempt_count,int64,947,100.0,915
pad.location.total_landing_count,int64,947,100.0,1
pad.location.total_launch_count,int64,947,100.0,1
pad.location.timezone_name,object,947,100.0,1
pad.location.longitude,float64,947,100.0,1
pad.location.latitude,float64,947,100.0,1
pad.location.active,bool,947,100.0,1
pad.location.name,object,947,100.0,1
pad.location.id,int64,947,100.0,1
pad.agencies,object,947,100.0,2
pad.orbital_launch_attempt_count,int64,947,100.0,16
pad.total_launch_count,int64,947,100.0,16
pad.description,object,947,100.0,16
pad.longitude,float64,947,100.0,17
pad.latitude,float64,947,100.0,17
pad.active,bool,947,100.0,2
pad.name,object,947,100.0,18
pad.id,int64,947,100.0,18
rocket.payloads,object,947,100.0,6
rocket.configuration.alias,object,947,100.0,3
pad_launch_attempt_count,int64,947,100.0,296
rocket.configuration.is_placeholder,bool,947,100.0,1
launch_service_provider.featured,bool,947,100.0,2
launch_service_provider.type.id,int64,947,100.0,3
launch_service_provider.abbrev,object,947,100.0,15
launch_service_provider.name,object,947,100.0,15
launch_service_provider.id,int64,947,100.0,15
info_urls,object,947,100.0,225
rocket.configuration.active,bool,947,100.0,2
updates,object,947,100.0,251
timeline,object,947,100.0,154
program,object,947,100.0,10
mission_patches,object,947,100.0,90
status.description,object,947,100.0,5
status.abbrev,object,947,100.0,5
status.name,object,947,100.0,5
status.id,int64,947,100.0,5
webcast_live,bool,947,100.0,1
pad_turnaround,object,947,100.0,896
window_end,object,947,100.0,915
window_start,object,947,100.0,915
net,object,947,100.0,915
last_updated,object,947,100.0,429
response_mode,object,947,100.0,1
slug,object,947,100.0,947
name,object,947,100.0,947
launch_service_provider.type.name,object,947,100.0,3
vid_urls,object,947,100.0,260
launch_service_provider.country,object,947,100.0,6
launch_service_provider.attempted_landings,int64,947,100.0,2
rocket.configuration.variant,object,947,100.0,109
rocket.configuration.full_name,object,947,100.0,115
rocket.configuration.name,object,947,100.0,105
rocket.configuration.id,int64,947,100.0,116
rocket.id,int64,947,100.0,947
launch_service_provider.consecutive_successful_landings,int64,947,100.0,2
launch_service_provider.failed_landings,int64,947,100.0,2
launch_service_provider.successful_landings,int64,947,100.0,2
launch_service_provider.consecutive_successful_launches,int64,947,100.0,11
launch_service_provider.total_launch_count,int64,947,100.0,14
launch_service_provider.failed_launches,int64,947,100.0,8
launch_service_provider.successful_launches,int64,947,100.0,12
launch_service_provider.pending_launches,int64,947,100.0,6
pad.fastest_turnaround,object,944,99.68,15
orbital_launch_attempt_count_year,float64,943,99.58,212
orbital_launch_attempt_count,float64,943,99.58,911
rocket.configuration.maiden_flight,object,934,98.63,112
launch_service_provider.founding_year,float64,929,98.1,12
mission.orbit.abbrev,object,918,96.94,11
mission.id,float64,918,96.94,918
mission.orbit.id,float64,918,96.94,11
mission.name,object,918,96.94,918
mission.description,object,918,96.94,349
mission.type,object,918,96.94,12
mission.orbit.celestial_body.id,float64,918,96.94,1
mission.orbit.name,object,918,96.94,11
mission.vid_urls,object,918,96.94,1
mission.info_urls,object,918,96.94,1
mission.agencies,object,918,96.94,18
mission.orbit.celestial_body.name,object,918,96.94,1
rocket.configuration.fastest_turnaround,object,913,96.41,93
rocket.configuration.max_stage,float64,886,93.56,5
rocket.configuration.min_stage,float64,886,93.56,6
rocket.configuration.diameter,float64,858,90.6,19
rocket.configuration.length,float64,851,89.86,48
launch_designator,object,830,87.65,830
rocket.configuration.launch_mass,float64,827,87.33,59
rocket.configuration.to_thrust,float64,811,85.64,57
image.image_url,object,723,76.35,97
rocket.configuration.leo_capacity,float64,644,68.0,54
image.credit,object,624,65.89,17
rocket.configuration.launch_cost,float64,484,51.11,26
failreason,object,369,38.97,9
rocket.configuration.gto_capacity,float64,337,35.59,24
rocket.configuration.apogee,float64,280,29.57,5
net_precision.description,object,260,27.46,10
net_precision.abbrev,object,260,27.46,10
net_precision.name,object,260,27.46,10
net_precision.id,float64,260,27.46,10
flightclub_url,object,195,20.59,195
probability,float64,79,8.34,9
rocket.configuration.sso_capacity,float64,70,7.39,9
rocket.configuration.geo_capacity,float64,52,5.49,4
hashtag,object,31,3.27,10
infographic,object,3,0.32,3
weather_concerns,object,1,0.11,1
